English,French
part,partie
history,histoire
search,chercher
only,seulement
police,police
thought,pensais
help,aide
request,demande
kind,genre
month,mois
let,laisser
because,car
to put,mettre
no,aucun
leash,laisse
them,eux
city,ville
each,chaque
speak,parlé
should,devrait
baby,bébé
will,vont
while,pendant
meet again,revoir
any,aucune
speak,parle
understood,compris
knew,savais
were,étaient
Warning,attention
here is,voici
case,affaire
give,donner
type,type
their,leurs
given,donné
train,train
body,corps
place,endroit
way,façon
listen,écoute
whose,dont
find,trouve
first,premier
lost,perdu
first,première
side,côté
power,pouvoir
be,sois
here,tiens
morning,matin
so much,tellement
point,point
sorry,pardon
come,venez
in front of,devant
towards,vers
minutes,minutes
placed,mis
beautiful,belle
law,droit
husband,mari
hope,espère
water,eau
new,nouvelle
would say,dirait
Earth,terre
given,donne
end,fin
believe,croire
sweetheart,chérie
rather,plutôt
will have,aura
to play,jouer
office,bureau
